ads_id,atypical,image_url,topic,example_1,example_2,action_a,action_b,action_c,action_d,action_e,action_correct
0/84620.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/84620.jpg,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b
0/85300.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/0/85300.jpg,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c
0/139270.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/139270.jpg,"""Soda, juice, milk, energy drinks, water"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should buy food.,I should subscribe to Comcast.,I should buy this product.,i should want to drink a coke,I should wear cover girl,d
0/81460.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/81460.jpg,"""Restaurants, cafe, fast food"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should buy Whitman's Chocolate.,I should eat at KFC,I should buy Hanes Perfect Fit Socks,I should buy a Kodak camera.,I should buy that appliance,b
0/109120.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/0/109120.jpg,"""Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should buy Axe deodorant.,I should buy this North Face jacket.,I should buy Kate Spade,I should shop westinghouse,I should get Taylor plastics.,b
0/52390.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/52390.jpg,"""Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,i should want to get a squirrel,I should get a 1932 Oldsmobile.,I should use those realtors,i should buy the hair dye,I should use Oracle,a
0/159310.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/159310.jpg,"""Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should never drive impaired.,I should see what other products evian has.,I should buy Trident,I should get a Magnavox.,I should buy a Magnavox television.,a
0/25580.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/25580.jpg,"""Restaurants, cafe, fast food"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should buy a Volks Wagon because it will make me a good parent.,I should buy Adidas,"The reason you are to buy this product is that this organization is trying to show poor, abused animals in order to get donations to help save their lives.",I should go to Chick-fil-A and eat chicken.,I should buy this lipstick.,d
0/95250.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/95250.jpg,"""Other services (dating, tax, legal, loan, religious, printing, catering, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should read clipper magazine,I should buy a Jeep.,I should have Lopez Negrete handle my marketing.,I should buy this product,I should buy these toys,c
1/116521.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/1/116521.jpg,"""Animal rights, animal abuse"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should be using Eshine.,I should buy Seagrams Crown Royal Whisky. ,I should go to North Delta Animal Hospital ,I should buy Krispy Creme doughnuts because the are delicious!,I should protest seal clubbing in Canada.,e
1/84431.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/1/84431.jpg,"""Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should use this musical instrument.,I should drink Nesquick,I should drink absolut vodka,I should buy this L'Oreal hair dye.,I should buy this phone.,d
1/119501.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/1/119501.jpg,"""Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should buy some sugary smoothies,I should buy Prada products.,I should enter this contest. ,I should attend this event.,I should smoke these cigarettes,b
1/130741.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/1/130741.jpg,"""Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should buy this,I should drink Mountain Dew., I should wear J crew clothing ,I should shop at Radioshack for a Sprint phone.,i should shop at sephora,e
1/121071.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/1/121071.jpg,"""Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should buy Mountain Dew soda.,I should buy Puma athletic shoes.,I should buy from Auntie Anne's. ,you should get flexable,I should drive this car,b
1/108011.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/1/108011.jpg,"""Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should buy a house from her,I should go to Costabaja's site.,I should buy a Krispy Kreme doughnut.,I should read the publication,I should use this lotion,e
1/112831.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/1/112831.jpg,"""Electronics (computers, laptops, tablets, cellphones, TVs, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should drink Perrier.,I should purchase this camera.,I should wear neutrogena makeup,vI should buy this product because it will make me attractive,I should boycott disection,b
2/124812.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/2/124812.jpg,"""Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should buy an audi.,I should drink coke,I should wear Versace fragrance ,I should buy a Xacti device ,I should read this book,a
2/69422.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/2/69422.jpg,"""Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should go to this jimmy johns location,I should buy Nestle Chocolate,I should order Hanes online.,I should visit this Honda dealer.,I should be drinking Coca-Cola. ,d
2/18052.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/2/18052.jpg,"""Electronics (computers, laptops, tablets, cellphones, TVs, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should get a Kia.,I should show people how to use something on a computer by touching the screen with my filthy index finger.,I should buy this KitKat bar. ,I should buy this coffee.,I should buy this sparkling drink ,b
2/122412.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/2/122412.jpg,"""Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should drink swiss miss ,I should buy Lauren clothing.,I should go to DickWella Resort.,I should get these shoes.,I should try this drink.,b
